,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Accrued Expenses,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,143784657.0,143784657.0,22520000000.0,54192000000.0,68926000000.0,110424000000.0,24500000000.0,68926000000.0,25891000000.0,82123000000.0,101842000000.0,86529000000.0,4406000000.0,82123000000.0,2851000000.0,78000000.0,39413000000.0,28697000000.0,719000000.0,719000000.0,120045000000.0,74256000000.0,168000000.0,24451000000.0,136000000.0,886000000.0,0.0,104000000.0,0.0,4580000000.0,43858000000.0,24139000000.0,19719000000.0,886000000.0,45789000000.0,990000000.0,,10334000000.0,1752000000.0,8582000000.0,1793000000.0,1793000000.0,24222000000.0,1755000000.0,46000000.0,16000000.0,22405000000.0,206574000000.0,136285000000.0,34000000.0,2055000000.0,131000000.0,8788000000.0,,8340000000.0,448000000.0,2241000000.0,28000000.0,13197000000.0,2892000000.0,10305000000.0,107391000000.0,-48739000000.0,156130000000.0,9232000000.0,39333000000.0,20768000000.0,64799000000.0,21998000000.0,0.0,70289000000.0,22000000.0,7822000000.0,3927000000.0,4808000000.0,3430000000.0,1378000000.0,3445000000.0,0.0,30161000000.0,-2367000000.0,32528000000.0,20104000000.0,14323000000.0,5781000000.0,1147000000.0,4634000000.0
2024-03-31,143784657.0,143784657.0,26564000000.0,53326000000.0,57873000000.0,100973000000.0,6152000000.0,57873000000.0,21707000000.0,69354000000.0,91710000000.0,73205000000.0,3851000000.0,69354000000.0,1724000000.0,78000000.0,27726000000.0,28697000000.0,719000000.0,719000000.0,94326000000.0,47681000000.0,178000000.0,0.0,0.0,732000000.0,0.0,,0.0,4498000000.0,42170000000.0,19814000000.0,22356000000.0,732000000.0,46645000000.0,1013000000.0,13000000.0,11156000000.0,1893000000.0,9263000000.0,1434000000.0,1434000000.0,25572000000.0,1838000000.0,35000000.0,13000000.0,23686000000.0,167531000000.0,114734000000.0,29000000.0,2513000000.0,109000000.0,1438000000.0,,1022000000.0,416000000.0,1984000000.0,34000000.0,11481000000.0,1358000000.0,10123000000.0,94611000000.0,-42787000000.0,137398000000.0,9206000000.0,36068000000.0,19621000000.0,60504000000.0,11999000000.0,0.0,52797000000.0,59000000.0,4283000000.0,3841000000.0,4598000000.0,3685000000.0,913000000.0,2972000000.0,0.0,25149000000.0,-2168000000.0,27317000000.0,11895000000.0,6840000000.0,5055000000.0,133000000.0,4922000000.0
2023-03-31,143784657.0,143784657.0,22769000000.0,43324000000.0,51056000000.0,89077000000.0,10121000000.0,51056000000.0,16221000000.0,61974000000.0,81350000000.0,65313000000.0,3339000000.0,61974000000.0,849000000.0,78000000.0,20592000000.0,29222000000.0,719000000.0,719000000.0,78965000000.0,45716000000.0,197000000.0,,5994000000.0,574000000.0,0.0,,0.0,4424000000.0,34359000000.0,14983000000.0,19376000000.0,574000000.0,33249000000.0,1043000000.0,28000000.0,8965000000.0,1238000000.0,7727000000.0,1126000000.0,1126000000.0,20752000000.0,1443000000.0,153000000.0,28000000.0,19156000000.0,144278000000.0,100908000000.0,56000000.0,1972000000.0,121000000.0,2531000000.0,,1559000000.0,972000000.0,1857000000.0,41000000.0,10918000000.0,1060000000.0,9858000000.0,81170000000.0,-37413000000.0,118583000000.0,6850000000.0,31583000000.0,18220000000.0,50924000000.0,11006000000.0,0.0,43370000000.0,218000000.0,3424000000.0,3592000000.0,3901000000.0,3145000000.0,756000000.0,2637000000.0,,22342000000.0,-1823000000.0,24165000000.0,7256000000.0,2922000000.0,4334000000.0,535000000.0,3799000000.0
2022-03-31,143784657.0,143784657.0,20892000000.0,40681000000.0,45755000000.0,82590000000.0,16263000000.0,45755000000.0,14324000000.0,56233000000.0,80505000000.0,59030000000.0,2797000000.0,56233000000.0,89000000.0,78000000.0,16699000000.0,28697000000.0,719000000.0,719000000.0,73663000000.0,49320000000.0,191000000.0,,5876000000.0,,0.0,,0.0,5304000000.0,37605000000.0,13333000000.0,24272000000.0,233000000.0,24343000000.0,861000000.0,30000000.0,3076000000.0,991000000.0,2085000000.0,,1189000000.0,18101000000.0,1752000000.0,31000000.0,30200000.0,16318000000.0,132693000000.0,92087000000.0,69000000.0,1807000000.0,83000000.0,1541000000.0,80000000.0,738000000.0,803000000.0,2359000000.0,47000000.0,10478000000.0,1079000000.0,9399000000.0,73480000000.0,-32508000000.0,105988000000.0,1032000000.0,29571000000.0,16836000000.0,47684000000.0,10865000000.0,0.0,40606000000.0,223000000.0,3775000000.0,2314000000.0,4319000000.0,3714000000.0,605000000.0,1850000000.0,,17647000000.0,-1919000000.0,19566000000.0,10478000000.0,5013000000.0,5465000000.0,483000000.0,4982000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
