,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,9300603819.0,9300603819.0,1271681700000.0,1345177100000.0,909119400000.0,2271152700000.0,-111062500000.0,909119400000.0,652500000.0,926628100000.0,2060082600000.0,926628100000.0,926628100000.0,833622100000.0,24451100000.0,,93006000000.0,93006000000.0,1734443800000.0,1331992600000.0,99100000.0,,,79231600000.0,107054200000.0,1099100400000.0,520900000.0,1098579500000.0,7265600000.0,406055300000.0,4715000000.0,211201700000.0,131600000.0,211070100000.0,,6313700000.0,113672000000.0,,319400000.0,1657800000.0,6204400000.0,2661071900000.0,2366079900000.0,170816200000.0,1651500000.0,38451800000.0,886400000.0,14072900000.0,110226300000.0,18830600000.0,18830600000.0,,17508700000.0,17508700000.0,2069099700000.0,,2041543700000.0,360242300000.0,1708856800000.0,,41201100000.0,,2036300000.0,294992800000.0,3766800000.0,0.0,104700000.0,35458600000.0,3488200000.0,18025200000.0,-8400000.0,315600000.0,,1339600000.0,79647500000.0,-3037900000.0,,67515400000.0,154245600000.0,37967900000.0,23720800000.0,7658400000.0
2024-03-31,9300603819.0,9300603819.0,1242449700000.0,1270037100000.0,854913100000.0,2140812300000.0,-91456700000.0,854913100000.0,675900000.0,871451100000.0,1956995600000.0,871451100000.0,871451100000.0,778445100000.0,21526600000.0,55092800000.0,93006000000.0,93006000000.0,1637454100000.0,1279250900000.0,94900000.0,6436600000.0,73200000.0,82771200000.0,102985700000.0,1086170200000.0,625700000.0,1085544500000.0,6436600000.0,358203200000.0,5764900000.0,183866900000.0,50200000.0,183816700000.0,1247400000.0,8266500000.0,95494900000.0,54888300000.0,332200000.0,123700000.0,3713600000.0,2508905200000.0,2242158900000.0,95420800000.0,2246500000.0,40607700000.0,616400000.0,16809800000.0,16809800000.0,20389800000.0,20389800000.0,,16538000000.0,16538000000.0,1955746500000.0,-972217500000.0,2927964000000.0,193521400000.0,13035300000.0,2643910700000.0,40514200000.0,34965000000.0,2017400000.0,266746500000.0,5676300000.0,2608600000.0,82400000.0,30228800000.0,5317500000.0,14062900000.0,-4200000.0,541700000.0,13525400000.0,41440200000.0,115396300000.0,-3513700000.0,118910000000.0,53694900000.0,26783400000.0,26911500000.0,9021800000.0,17889700000.0
2023-03-31,9300603818.0,9300603818.0,1233253400000.0,1285838100000.0,813356100000.0,2115438000000.0,-55770700000.0,813356100000.0,663000000.0,830262900000.0,1969175800000.0,830262900000.0,830262900000.0,760508400000.0,40434800000.0,78344300000.0,69754500000.0,69754500000.0,1692467700000.0,1382756800000.0,94576900000.0,5778700000.0,69300000.0,1941500000.0,107219900000.0,1139534600000.0,621700000.0,1138912900000.0,5778700000.0,309710900000.0,42322900000.0,146303500000.0,41300000.0,146262200000.0,1418700000.0,10162200000.0,3805500000.0,44372900000.0,299100000.0,527600000.0,3277900000.0,2522730600000.0,2268790400000.0,164639200000.0,724900000.0,44655300000.0,549000000.0,82566400000.0,82566400000.0,17146500000.0,17146500000.0,0.0,16906800000.0,16906800000.0,1975186300000.0,-837958300000.0,2822942300000.0,137412400000.0,12807600000.0,2588256400000.0,39158400000.0,33534000000.0,1975800000.0,253940200000.0,2362800000.0,2608600000.0,65400000.0,16367400000.0,1863400000.0,13399500000.0,-70600000.0,269800000.0,13200300000.0,1070300000.0,148839600000.0,-2969300000.0,151808900000.0,85659400000.0,33737700000.0,41436300000.0,25101000000.0,16335300000.0
2022-03-31,9300603818.0,9300603818.0,1362683900000.0,1388758600000.0,744689400000.0,2150926300000.0,-227392100000.0,744689400000.0,303600000.0,762471300000.0,1904465300000.0,762471300000.0,762471300000.0,692808400000.0,40973600000.0,78344300000.0,69754500000.0,69754500000.0,1789512600000.0,1299417200000.0,2520500000.0,5171400000.0,157000000.0,2578800000.0,114225500000.0,1142269800000.0,275800000.0,1141994000000.0,5171400000.0,490095400000.0,32284500000.0,246488800000.0,27800000.0,246461000000.0,512900000.0,11671200000.0,2765500000.0,39254900000.0,286400000.0,94500000.0,2671000000.0,2551983900000.0,2289280600000.0,151966400000.0,6356500000.0,43051800000.0,747300000.0,65175900000.0,65175900000.0,18612100000.0,18612100000.0,0.0,17781900000.0,17781900000.0,2028482500000.0,-702111100000.0,2730593600000.0,127999000000.0,12257300000.0,2518579000000.0,36984600000.0,33001200000.0,1772500000.0,262703300000.0,2242800000.0,158600000.0,,286400000.0,2007900000.0,13571700000.0,-68700000.0,269400000.0,13371000000.0,985900000.0,133695600000.0,-3007700000.0,94901000000.0,112048700000.0,86277600000.0,25771100000.0,17812300000.0,7958800000.0
2021-03-31,,,,,,,,,,,,,,,,95782900000.0,,,,,,,124800000.0,,,,,,,,,,,,730600000.0,,,46465900000.0,,,,,,,,,,,,,,300000.0,,,,-571679600000.0,,,,2318093200000.0,,31893300000.0,,,,,,,,,,,13617400000.0,,,,89298600000.0,,,,,
