Date,Close,High,Low,Open,Volume
2025-01-01,327.74945068359375,328.73176585421913,322.9852161104845,327.11095181826323,7843971
2025-01-02,332.02252197265625,332.6119170604913,324.1640007425342,327.7494450582015,16543382
2025-01-03,333.8398132324219,338.4075727323626,331.08931279678086,332.071627957107,8689629
2025-01-06,321.7082214355469,335.6571089820723,320.6768024877453,335.6571089820723,10538077
2025-01-07,322.78875732421875,324.5078087996452,319.3506543733659,321.2170471225389,13891401
2025-01-08,319.64532470703125,324.6551376681362,316.1581181241372,324.6551376681362,8993608
2025-01-09,314.6846618652344,320.185632658282,314.1443705501838,318.3192099054079,12403467
2025-01-10,302.79864501953125,315.32316318335614,302.16014616753955,314.68466433136444,15941143
2025-01-13,292.9263916015625,304.4685946881565,291.6002601449737,295.7750995592736,29630336
2025-01-14,304.9106140136719,307.1699568264988,294.89101755421916,295.1365963396647,22732888
2025-01-15,315.6669921875,318.56480401021986,307.0226005319093,307.0226005319093,21894626
2025-01-16,319.74359130859375,321.51174664265045,315.9616718674322,318.9577511552086,14865186
2025-01-17,320.382080078125,323.1816842503375,317.6316096501249,319.54710620530665,7129232
2025-01-20,330.10699462890625,331.0402060138656,318.810370388077,320.4312143701517,17991880
2025-01-21,318.5647888183594,332.26809705154824,318.0736312469602,331.8260432461374,12774630
2025-01-22,316.6983947753906,321.21705040975814,311.73771531526006,321.21705040975814,11068145
2025-01-23,317.9263000488281,319.35066904218746,313.8988018401143,315.3231708334736,6477347
2025-01-24,317.9263000488281,324.0657698859285,316.4037235203793,319.0559565032786,7492600
2025-01-27,316.501953125,319.30152731846147,309.42927205823156,317.9262921048896,13803855
2025-01-28,312.6217956542969,318.1227664752115,302.7004066701636,316.79663503067,22008929
2025-01-29,315.5687255859375,317.18953950387726,307.75930855693986,314.34083171206225,16056888
2025-01-30,317.2878112792969,321.0205970679009,315.4705221541024,316.5510748753976,10375720
2025-01-31,320.7527160644531,322.9801654815674,314.36734898403904,319.2182629951276,13195557
2025-02-01,314.515869140625,327.4845504400364,313.57537841507246,322.7821572357062,10097627
2025-02-03,308.1305236816406,310.9024488381054,300.95318618222893,306.9920554999397,15881217
2025-02-04,315.9018249511719,317.238300612841,307.1900048611288,311.69442059403457,12141064
2025-02-05,316.3968200683594,319.81222437058426,315.2088349648018,317.7827825480325,12226722
2025-02-06,309.6649475097656,319.4657488530033,308.2789850628752,319.36674506142924,13384442
2025-02-07,313.7734069824219,316.050343338387,308.97200966305024,310.3579722367559,8937447
