,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,6162728327.0,6162728327.0,,91457300000.0,900595400000.0,1080133200000.0,314517700000.0,900595400000.0,2373300000.0,991049200000.0,1064906700000.0,999506900000.0,8457700000.0,991049200000.0,929421900000.0,693967700000.0,11068100000.0,61627300000.0,61627300000.0,1602476800000.0,955060300000.0,70088700000.0,,11742200000.0,18319000000.0,75322100000.0,1464600000.0,73857500000.0,745315200000.0,647416500000.0,2927600000.0,16135200000.0,908700000.0,15226500000.0,48281000000.0,62223500000.0,288419600000.0,153364500000.0,166900000.0,32831900000.0,102056300000.0,2601983700000.0,1640049500000.0,61071000000.0,10242300000.0,2723600000.0,26947100000.0,189415100000.0,,189415100000.0,44159900000.0,44159900000.0,90453800000.0,90453800000.0,1050643900000.0,-414046000000.0,1464689900000.0,249286200000.0,238765000000.0,458742500000.0,84344300000.0,336823200000.0,96728700000.0,961934200000.0,4006500000.0,10238900000.0,200617200000.0,126137000000.0,-2946200000.0,,101221100000.0,,27859100000.0,189000000.0,105072000000.0,126093500000.0,,126093500000.0,363709500000.0,252102700000.0,111606800000.0,14140200000.0,97466600000.0
2024-03-31,6162728327.0,6162728327.0,2803100000.0,65230300000.0,758415800000.0,890188000000.0,426108200000.0,758415800000.0,2340100000.0,827297800000.0,883469800000.0,835819000000.0,8521200000.0,827297800000.0,765670500000.0,544255600000.0,11068100000.0,61627300000.0,61627300000.0,1540903600000.0,928178200000.0,62052200000.0,,12366800000.0,18221600000.0,57734900000.0,1562900000.0,56172000000.0,743110100000.0,612725400000.0,2045500000.0,7495400000.0,777200000.0,6718200000.0,47670700000.0,66805800000.0,278314400000.0,160742100000.0,163700000.0,33552100000.0,83856500000.0,2376722600000.0,1337889000000.0,53436700000.0,7469900000.0,2550200000.0,31412900000.0,173825000000.0,,173825000000.0,38592300000.0,38592300000.0,68882000000.0,68882000000.0,959971700000.0,-332100400000.0,1292072100000.0,232317600000.0,193470700000.0,405865000000.0,73144100000.0,279663200000.0,107611500000.0,1038833600000.0,6041600000.0,5571400000.0,202938400000.0,101772300000.0,-2962700000.0,,78421600000.0,600000.0,26312800000.0,20649300000.0,233470400000.0,139051300000.0,,139051300000.0,329338900000.0,269251800000.0,60087100000.0,3421400000.0,56665700000.0
2023-03-31,6162728327.0,6162728327.0,,43314200000.0,559832700000.0,649576600000.0,393102900000.0,559832700000.0,2166900000.0,608429300000.0,649491800000.0,616136200000.0,7706900000.0,608429300000.0,510821600000.0,335372600000.0,12029600000.0,61627300000.0,61627300000.0,1608170400000.0,920436200000.0,67735100000.0,688279500000.0,147100000.0,16439500000.0,42632500000.0,1570000000.0,41062500000.0,761406300000.0,687734200000.0,3679800000.0,681700000.0,596900000.0,84800000.0,37853200000.0,151981800000.0,245634800000.0,133397800000.0,155000000.0,26590200000.0,85491800000.0,2224306600000.0,1143469500000.0,42502300000.0,6431100000.0,2724900000.0,28145200000.0,157506500000.0,,157506500000.0,30853200000.0,30853200000.0,48596600000.0,48596600000.0,825724000000.0,-274958500000.0,1100682500000.0,207540100000.0,155279900000.0,336795100000.0,61462000000.0,243655700000.0,95949700000.0,1080837100000.0,6752000000.0,8696900000.0,191945200000.0,81546800000.0,-2973900000.0,,63764100000.0,260900000.0,20495700000.0,8759700000.0,203088500000.0,148933600000.0,,148933600000.0,431114400000.0,374840100000.0,56274300000.0,7107400000.0,49166900000.0
2022-03-31,6162728327.0,6162728327.0,,35136400000.0,429418100000.0,464528000000.0,356374800000.0,429418100000.0,2038800000.0,431430400000.0,464448200000.0,438168300000.0,6737900000.0,431430400000.0,369803100000.0,174518000000.0,12029600000.0,61627300000.0,61627300000.0,1496677700000.0,924592600000.0,65277100000.0,659440000000.0,6539700000.0,8013500000.0,34614400000.0,1596600000.0,33017800000.0,791909200000.0,572085100000.0,308973200000.0,522000000.0,442200000.0,79800000.0,37866800000.0,62243900000.0,86035300000.0,116461000000.0,151800000.0,0.0,86035300000.0,1934846000000.0,1006386100000.0,64079400000.0,37818400000.0,2577500000.0,41284200000.0,144988700000.0,0.0,144988700000.0,24268900000.0,24268900000.0,2012300000.0,2012300000.0,726197900000.0,-215353600000.0,941551500000.0,129246800000.0,140116800000.0,329525100000.0,51225200000.0,214830000000.0,76607600000.0,928459900000.0,268993500000.0,8663300000.0,167828900000.0,70756800000.0,,90100000.0,54128800000.0,921500000.0,15616400000.0,3200000.0,84231900000.0,113676800000.0,-24245300000.0,137922100000.0,390797700000.0,320162900000.0,70634800000.0,48719500000.0,14057500000.0
2021-03-31,,,7704900000.0,,,,,,,,,,,,,,,,,,,,631786100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,6499500000.0,,,,,,,,,,,,,,,,,,,,,86800000.0,,1974900000.0,,,,,-25427300000.0,,,,,,
